微博id,微博bid,微博作者,发布时间,微博内容,转发数,评论数,点赞数
1775084261,OqUqxkVTh,酒酿熊子,2024-08-05 22:13:05,#潘展乐 神的孩子在采访# #潘展乐评价奥运村食物# #王冰冰采访潘展乐#我求你们点开。。。。我真笑的头疼。。。。们潘展乐又又又又告状了！！20岁的潘展乐学会了人情世故但不多 🙏🙏 潘展乐：这能说吗。这边吃的真的太差了。 冰冰：（开始找补）太清淡了吗？不对你是浙江人… 潘展乐：太 差 劲 了（ ...全文,2193,503,25614
2858270197,OqUCVBybF,七百里加急递煎饼,2024-08-05 22:43:37,潘展乐今天和王冰冰的连麦，潘展乐你还是从前那个少年，没有一丝丝改变哈哈  小潘：吃的真的太差劲了 冰冰：太清淡了？ 小潘：太！差！劲！了！这边唯一调料就是盐，然后做出来的肉就跟啃木头一样，你想加的调料也没有！  冰冰：那你最爱吃哪里的菜？ 小潘：我们国内的菜我都爱吃，只要不辣的。  小潘 ...全文,221,185,4787
5732552960,OqUh0kKP6,恃宠久骄,2024-08-05 21:49:36,我靠。。 王冰冰采访潘展乐：网友们说你是不内耗的世界飞鱼 潘展乐：不内耗是的。世界飞鱼以后再说吧，真到我的巅峰期，再叫我世界飞鱼也不迟。 潘展乐：我有年龄优势我才20岁。  我靠。。。。 ,926,511,68040
2018499075,OqYPujz9w,直播吧,2024-08-06 09:25:32,00后拒绝内卷第一人！潘展乐：人生目标已达成，接下来该摆烂了  在与王冰冰@吃花椒的喵酱 连线时，@潘展乐 调侃自己接下来该摆烂了。  王冰冰：有什么想要做的事情没有？  潘展乐：没有了吧，人生目标已经完成了，接下来该摆烂了。  王冰冰：不认可你的人，你最想对他们说什么？  潘展乐：我为什 ...全文,24,50,533
6596358262,Or1KheI3i,退网熬夜冠军,2024-08-06 16:50:56,#王冰冰为选邹市明拒绝任鲁豫#感觉王冰冰还是非常机智的，在选择的时候也是以自己的策略为主，看得出来真的是一个冰雪聪明的主持人呀 ,4,7,206
1709282765,Or13y5bti,姬宇阳,2024-08-06 15:05:40,王冰冰：不认可你的人，你最想对他们说什么？ 潘展乐：我为什么要对不认可的人说话呢，我不理他不就好了吗。  说得真棒哈哈！别看人家不到20岁，已经活的这么通透了。👏👏 ,3,12,71
7653795950,OqUm7yqdn,涨茴妹,2024-08-05 22:02:12,看到潘展乐对王冰冰的态度我感觉冰冰和老鳖可能真的能结婚 ,78,61,2607
2036161077,OqVdEyDps,马上谈,2024-08-06 00:14:05,#王冰冰采访潘展乐# 其实我想问，王冰冰和徐嘉余还在一起吗？其实他们挺般配的，可惜被前女友给闹了… ,11,99,1666
2294251280,OqYTctGji,凤凰网体育,2024-08-06 09:34:41,#潘展乐说话的艺术# 太差劲了这能说吗挺独特的   接受央视主持人王冰冰采访时，小潘真是金句频出  潘展乐：查尔莫斯找我说他被网暴了 不过后来交换了泳帽，误会就解除了，现在见到我会打招呼了  冰冰：想对不认可你的人说什么 潘展乐：我为什么要和他们说话，我不理他们  潘展乐： ...全文,410,62,423
1773224285,OqMVl7GFC,花里胡哨陆依萍,2024-08-05 03:06:59,晚上7点央视频我是不是能看到王冰冰采访徐嘉余😨土姐要气死了 #中国队男子4×100混接金牌# ,12,92,917
7810160845,Or2Cz9xmd,祈佑之念,2024-08-06 19:04:41,"#王冰冰为选邹市明拒绝任鲁豫#善良是春日里的和煦微风,善良是炎热夏日的清凉饮品,善良是秋日收获的喜悦,善良是冬日里温暖的阳光。善良是一种纯洁的心地,善良是一种美好的意愿,善良是一种美好的境界。 ",0,0,0
7528709237,Or2CurWpU,初夏礼巷-,2024-08-06 19:04:30,#王冰冰为选邹市明拒绝任鲁豫#啥东西？ ,0,0,0
5641990441,Or2nZnG62,一口一只懒羊羊,2024-08-06 18:28:47,#王冰冰为选邹市明拒绝任鲁豫# 这姐为啥奥运期间这样努力营销啊，不理解，已脱粉 ,1,9,62
7064454502,Or2BX5MmM,柒姒祈序-,2024-08-06 19:03:10,#王冰冰为选邹市明拒绝任鲁豫#人与人交往，更多的不是改变对方，而是接受对方，如果光想着改变对方，那不是生活，那是战争。命运不是一个机遇问题，而是一个选择问题，它不是我们要等待的东西，而是我们要实现的东西。把弯路走直的人是聪明的，因为找到了捷径;把直路走弯的人是豁达的，因为可多看几道 ...全文,0,0,0
7922427142,Or2BRERdw,我归期,2024-08-06 19:02:58,#王冰冰为选邹市明拒绝任鲁豫#挺好的姐姐 但我不想在热搜上再看见了 ,0,0,0
7395634758,Or2BQxiKz,猫枣糕-,2024-08-06 19:02:55,#王冰冰为选邹市明拒绝任鲁豫#你们可以骂我骂别骂我女神 ,0,0,1
7775449062,Or2u92CGW,南诏泪,2024-08-06 18:43:56,#王冰冰为选邹市明拒绝任鲁豫#互联网是有记忆的 少营销 多提高一下自己的业务能力吧 ,0,2,16
3424353080,Or2ahs02Z,H_季夏初一,2024-08-06 17:55:00,#王冰冰为选邹市明拒绝任鲁豫#为什么拒绝，可能怕碎碎念 H_季夏初一的微博视频 ,3,4,121
7650644171,Or2BaeN8p,Tipsy_微醺禁区,2024-08-06 19:01:14,#王冰冰为选邹市明拒绝任鲁豫# 什么意思？一个标题就认识个王冰冰 看都看不懂啊这是 ,0,0,1
